molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL2420787,Cc1ccc(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)o1,6.56,275.0,nM
CHEMBL2420786,Cc1ccc(C(=O)/C=C/c2cccc(C(F)(F)F)c2)o1,6.54,288.0,nM
CHEMBL2420785,Cc1ccc(C(=O)/C=C/c2ccc(F)c(Br)c2)o1,6.7,200.0,nM
CHEMBL1438596,Cc1ccc(C(=O)/C=C/c2ccc(F)cc2)o1,6.03,924.0,nM
CHEMBL2420784,Cc1ccc(C(=O)/C=C/c2cccc(F)c2)o1,6.21,619.0,nM
CHEMBL1344767,Cc1ccc(C(=O)/C=C/c2ccc(Br)cc2)o1,6.15,707.0,nM
CHEMBL2420783,Cc1ccc(C(=O)/C=C/c2cccc(Br)c2)o1,6.35,449.0,nM
CHEMBL2420694,Cc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)o1,6.21,616.0,nM
CHEMBL2420693,Cc1ccc(C(=O)/C=C/c2cccc(Cl)c2)o1,6.31,490.0,nM
CHEMBL2420794,COc1cccc(/C=C/C(=O)c2ccco2)c1,5.5,3200.0,nM
CHEMBL2420793,O=C(/C=C/c1cccc(Cl)c1)c1ccco1,5.68,2100.0,nM
CHEMBL2377627,O=C(/C=C/c1cccc(Cl)c1)c1ccccc1,6.28,529.0,nM
CHEMBL2426048,C#CCNCC(O)COc1ccc(-c2ccccc2)cc1,7.22,60.0,nM
CHEMBL2426047,C#CCN(C)CCCOc1cccc(NC(=O)c2ccccc2)c1,7.0,100.0,nM
CHEMBL2426046,C#CCNCCCOc1cccc(NC(=O)c2ccccc2)c1,6.7,200.0,nM
CHEMBL2426045,C#CCNCCCOc1cccc(C(=O)NCc2ccccc2)c1,5.24,5700.0,nM
CHEMBL2426044,C#CCNCCCOc1cccc(C(=O)NC(C)C)c1,4.77,17000.0,nM
CHEMBL2430710,O=C1CCc2cc(O)ccc2N1,3.6968039425795114,201000.0,nM
CHEMBL2430709,O=C1CCc2ccc(OCCCc3ccccc3)cc2N1,6.89,130.0,nM
CHEMBL2430708,O=C1CCc2ccc(OCCc3ccccc3)cc2N1,6.72,191.0,nM
CHEMBL2430707,O=C1CCc2ccc(OCc3cccc(Br)c3)cc2N1,8.315,2.9,nM
CHEMBL2430706,O=C1CCc2ccc(OCc3cccc(Cl)c3)cc2N1,8.030000000000001,6.2,nM
CHEMBL145059,O=C1CCc2ccc(OCc3ccccc3)cc2N1,7.42,38.0,nM
CHEMBL2430705,O=C1CCc2cc(OCCCc3ccccc3)ccc2N1,6.55,284.0,nM
CHEMBL2430704,O=C1CCc2cc(OCCc3ccccc3)ccc2N1,5.63,2330.0,nM
CHEMBL2430703,O=C1CCc2cc(OCc3cccc(Br)c3)ccc2N1,7.07,86.0,nM
CHEMBL2430702,O=C1CCc2cc(OCc3cccc(Cl)c3)ccc2N1,6.21,620.0,nM
CHEMBL172856,O=C1CCc2cc(OCc3ccccc3)ccc2N1,5.4,4010.0,nM
CHEMBL2334497,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3F)nn2)CC1,3.1019882612024983,790700.0,nM
CHEMBL2023192,C#CCN[C@H]1c2ccccc2C[C@@H]1F,7.57,27.0,nM
CHEMBL2442536,[2H]C([2H])(C#C)N[C@@H]1c2ccccc2C[C@H]1F,6.76,173.0,nM
CHEMBL2396879,COc1cc(OC)cc(C(=O)/C=C/C2=Cc3cc(Br)ccc3OC2)c1,4.78,16670.0,nM
CHEMBL2396878,COc1ccccc1C(=O)/C=C/C1=Cc2cc(Br)ccc2OC1,4.37,42770.0,nM
CHEMBL2396877,COc1cccc(C(=O)/C=C/C2=Cc3cc(Br)ccc3OC2)c1,4.45,35860.0,nM
CHEMBL2396880,COc1cc(/C=C/C(=O)C2=Cc3cc(OC)ccc3OC2)cc(OC)c1,4.74,18300.0,nM
CHEMBL450675,COc1ccc(/C=C2\COc3cc(O)ccc3C2=O)cc1,5.97,1060.0,nM
CHEMBL3093172,COc1ccc(CC2COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,5.96,1110.0,nM
CHEMBL3093171,COc1ccc(/C=C2\COc3cc(OCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)ccc3C2=O)cc1,5.81,1560.0,nM
CHEMBL3093170,COc1ccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)ccc3C2=O)cc1,5.87,1360.0,nM
CHEMBL3093168,COc1ccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1OC,4.71,19730.0,nM
CHEMBL3093167,COc1ccccc1/C=C1\COc2cc(OCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccc2C1=O,5.75,1790.0,nM
CHEMBL3093166,COc1cccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)c1,5.66,2200.0,nM
CHEMBL3093181,O=C1/C(=C/c2ccc(Cl)cc2)COc2cc(OCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccc21,4.81,15400.0,nM
CHEMBL3093180,O=C1/C(=C/c2ccc(F)cc2)COc2cc(OCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccc21,5.96,1090.0,nM
CHEMBL3093179,Cc1ccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,5.91,1240.0,nM
CHEMBL3093178,CN(C)c1ccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,5.99,1030.0,nM
CHEMBL3093177,COc1ccc(/C=C2\COc3cc(OCCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,5.46,3430.0,nM
CHEMBL3093176,COc1ccc(/C=C2\COc3cc(OCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,6.36,437.0,nM
CHEMBL3093175,COc1ccc(/C=C2\COc3cc(OCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,6.29,518.0,nM
CHEMBL3093174,COc1ccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,6.4,401.0,nM
CHEMBL3093173,COc1ccc(/C=C2\COc3cc(OCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,5.94,1160.0,nM
CHEMBL3093223,CCCn1c(=O)c2c(nc3n2CCCN3CCC(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)n(CCC)c1=O,5.44,3600.0,nM
CHEMBL3093221,CCCn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)n(CCC)c1=O,5.53,2980.0,nM
CHEMBL3093219,CCCn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(c3ccc(Cl)cc3)CC2)n(CCC)c1=O,5.0,10000.0,nM
CHEMBL3093218,CCCn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(c3ccccc3)CC2)n(CCC)c1=O,5.0,10000.0,nM
CHEMBL3093216,Cn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)n(C)c1=O,5.46,3480.0,nM
CHEMBL3093214,Cn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(Cc3ccccc3)CC2)n(C)c1=O,5.0,10000.0,nM
CHEMBL3093241,Cn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(c3ccc(Cl)cc3)CC2)n(C)c1=O,5.66,2200.0,nM
CHEMBL3093240,Cn1c(=O)c2c(nc3n2CCCN3CC(=O)N2CCN(c3ccccc3)CC2)n(C)c1=O,5.0,10000.0,nM
CHEMBL3093239,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccc(Cl)c(Cl)c2)n(C)c1=O,7.06,86.9,nM
CHEMBL239230,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccc(Cl)cc2)n(C)c1=O,6.21,624.0,nM
CHEMBL3093238,Cn1c(=O)c2c(nc3n2CCCN3CCc2cccc(Cl)c2)n(C)c1=O,5.87,1350.0,nM
