molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL3122114,CNc1nc(Nc2cnn(C(C)(C)C#N)c2C)ncc1C(F)(F)F,8.3,5.0,nM
CHEMBL3122113,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,8.52,3.0,nM
CHEMBL3122112,CNc1nc(Nc2cn(C(C)(C)C(=O)NCC(F)(F)F)nc2C)ncc1C(F)(F)F,7.28,53.0,nM
CHEMBL3122111,CNc1nc(Nc2cn(C(C)(C)C(=O)NC(C)C)nc2C)ncc1C(F)(F)F,6.85,140.0,nM
CHEMBL3122110,CCNC(=O)C(C)(C)n1cc(Nc2ncc(C(F)(F)F)c(NC)n2)c(C)n1,7.0,99.0,nM
CHEMBL3122109,CNC(=O)C(C)(C)n1cc(Nc2ncc(C(F)(F)F)c(NC)n2)c(C)n1,7.44,36.0,nM
CHEMBL3122108,CNc1nc(Nc2cnn3c2C(C)OCC3)ncc1C(F)(F)F,7.38,42.0,nM
CHEMBL3122107,CNc1nc(Nc2cnn3c2C(C)O[C@@H](C)C3)ncc1C(F)(F)F,7.31,49.0,nM
CHEMBL3122106,CNc1nc(Nc2cnn3c2COCC3)ncc1C(F)(F)F,7.75,18.0,nM
CHEMBL3122105,CNc1nc(Nc2cnn3c2COC(C)(C)C3)ncc1C(F)(F)F,7.7,20.0,nM
CHEMBL3326137,COc1ccc(OC)c(Oc2ccc3nnc(-c4ccccc4)n3n2)c1,6.195,1740.0,nM
CHEMBL3326134,Cn1cc(-c2nnc3ccc(Sc4cc(Cl)ccc4Cl)nn23)cn1,6.09,1800.0,nM
CHEMBL3326133,COc1ccc(Cl)cc1Sc1ccc2nnc(-c3cnn(C)c3)n2n1,6.86,245.0,nM
CHEMBL3326129,COc1ccc(OC)c(Sc2ccc3nnc(-c4cn(C)nc4C)n3n2)c1,6.195,1260.0,nM
CHEMBL3326128,COc1ccc(OC)c(Sc2ccc3nnc(-c4cnn(C)c4)n3n2)c1,6.800000000000001,387.0,nM
CHEMBL3326126,COc1ccc(OC)c(Sc2ccc3nnc(-c4cncs4)n3n2)c1,6.6,660.0,nM
CHEMBL3326125,COc1ccc(OC)c(Sc2ccc3nnc(-c4ccsn4)n3n2)c1,6.59,722.0,nM
CHEMBL3326124,COc1ccc(OC)c(Sc2ccc3nnc(-c4ccon4)n3n2)c1,5.725,4330.0,nM
CHEMBL3326119,COc1cncc(-c2nnc3ccc(Sc4cc(OC)ccc4OC)nn23)c1,6.77,440.0,nM
CHEMBL3326116,COc1ccc(OC)c(Sc2ccc3nnc(-c4cccnc4)n3n2)c1,6.375,736.0,nM
CHEMBL3326115,COc1ccc(OC)c(Sc2ccc3nnc(-c4ccccn4)n3n2)c1,6.09,1310.0,nM
CHEMBL3326153,COc1ccc(OC)c(Sc2ccn3nc(C)c(-c4cnn(C)c4)c3n2)c1,6.54,110.0,nM
CHEMBL3326152,COc1ccc(OC)c(Sc2ccc3nc(C)c(-c4cnn(C)c4)n3n2)c1,6.485,115.0,nM
CHEMBL3326151,COc1ccc(OC)c(Sc2ccc3ncc(-c4cnn(C)c4)n3c2)c1,5.94,1145.0,nM
CHEMBL3326150,COc1ccc(OC)c(Sc2ccc3ncn(-c4cnn(C)c4)c3n2)c1,5.705,661.0,nM
CHEMBL3326149,COc1ccc(OC)c(Sc2ccc3nnn(-c4cnn(C)c4)c3n2)c1,5.78,525.0,nM
CHEMBL3326148,COc1ccc(OC)c(Sc2ccn3ncc(-c4cnn(C)c4)c3n2)c1,6.75,64.0,nM
CHEMBL3326147,COc1ccc(OC)c(Sc2ccc3ncc(-c4cnn(C)c4)n3n2)c1,6.78,69.0,nM
CHEMBL3326146,COc1ccc(OC)c(Sc2ccc3nnc(-c4cnn(C)c4)n3c2)c1,5.83,1461.0,nM
CHEMBL3326145,COc1ccc(OC)c(Sc2cc(C)c3nnc(-c4cnn(C)c4)n3n2)c1,4.5,32000.0,nM
CHEMBL3326144,COc1ccc(OC)c(Sc2nn3c(-c4cnn(C)c4)nnc3cc2C)c1,4.5,32000.0,nM
CHEMBL3326143,COc1ccc(OC)c(N(C)c2ccc3nnc(-c4cnn(C)c4)n3n2)c1,4.66,21858.0,nM
CHEMBL3326142,COc1ccc(OC)c(C(F)(F)c2ccc3nnc(-c4cnn(C)c4)n3n2)c1,6.12,763.0,nM
CHEMBL3326141,COc1ccc(OC)c(C(=O)c2ccc3nnc(-c4cnn(C)c4)n3n2)c1,5.92,1211.0,nM
CHEMBL3326140,COc1ccc(OC)c(C(O)c2ccc3nnc(-c4cnn(C)c4)n3n2)c1,5.04,9124.0,nM
CHEMBL3326139,COc1ccc(OC)c(Cc2ccc3nnc(-c4cnn(C)c4)n3n2)c1,5.21,6202.0,nM
CHEMBL3326138,COc1ccc(OC)c(Oc2ccc3nnc(-c4cnn(C)c4)n3n2)c1,6.26,549.0,nM
CHEMBL1982880,COc1ccc(OC)c(Nc2ccc3nnc(-c4ccccc4)n3n2)c1,4.65,22265.0,nM
CHEMBL3326136,COc1cc(Sc2ccc3nnc(-c4cnn(C)c4)n3n2)c(OC)nn1,4.9,12635.0,nM
CHEMBL3326135,COc1ccc(C(C)C)cc1Sc1ccc2nnc(-c3cnn(C)c3)n2n1,5.87,1350.0,nM
CHEMBL3326131,COc1cccc(Sc2ccc3nnc(-c4ccccc4)n3n2)c1,5.68,2110.0,nM
