molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL77002,COc1cc(OC)cc(-c2cc3[nH]ccnc-3n2)c1,4.22,60000.0,nM
CHEMBL76941,C=CCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,6.22,600.0,nM
CHEMBL306498,CCCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,6.04,920.0,nM
CHEMBL77540,Cc1c(-c2ccc(OS(=O)(=O)N(C)C)cc2)[nH]c2nccnc12,6.3,500.0,nM
CHEMBL305901,c1ccc(-c2cc3[nH]ccnc-3n2)cc1,5.64,2300.0,nM
CHEMBL77469,c1ccc(Cc2c(-c3ccccc3)[nH]c3nccnc23)cc1,6.0,1000.0,nM
CHEMBL77210,FC(F)(F)c1ccc(-c2cc3[nH]ccnc-3n2)cc1,5.14,7200.0,nM
CHEMBL306263,Fc1ccc(-c2cc3[nH]ccnc-3n2)cc1,5.72,1900.0,nM
CHEMBL312065,COc1cc(-c2cc3[nH]ccnc-3n2)cc(OC)c1OC,4.07,85000.0,nM
CHEMBL77095,CCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,5.75,1800.0,nM
CHEMBL74015,c1csc(-c2cc3[nH]ccnc-3n2)c1,5.92,1200.0,nM
CHEMBL78264,c1ccc2c(-c3cc4[nH]ccnc-4n3)cccc2c1,4.57,27000.0,nM
CHEMBL419273,COc1ccc(-c2[nH]c3nccnc3c2C)cc1OC,5.7,2000.0,nM
CHEMBL77697,N#Cc1ccc(-c2cc3[nH]ccnc-3n2)cc1,5.32,4800.0,nM
CHEMBL77217,CC(C)c1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,6.12,750.0,nM
CHEMBL76427,Cc1c(C2(c3ccc(Cl)cc3)CC2)[nH]c2nccnc12,4.75,18000.0,nM
CHEMBL306347,Clc1ccc(-c2[nH]c3nccnc3c2CC2CCCCC2)cc1,5.1,8000.0,nM
CHEMBL306355,CCCCc1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,5.23,5900.0,nM
CHEMBL78165,Cc1c(-c2ccc(Cl)cc2)[nH]c2nccnc12,5.77,1700.0,nM
CHEMBL74133,Oc1ccc(-c2[nH]c3nccnc3c2CC2CC2)cc1,5.52,3000.0,nM
CHEMBL80644,COc1cccc(-c2cc3[nH]ccnc-3n2)c1,5.5,3200.0,nM
CHEMBL77458,CN(C)c1ccc(-c2cc3[nH]ccnc-3n2)cc1,4.92,12000.0,nM
CHEMBL77947,COc1ccc(-c2[nH]c3nccnc3c2CC2CCCCC2)cc1,5.17,6800.0,nM
CHEMBL307943,Cc1ccc(-c2cc3[nH]ccnc-3n2)cc1,5.58,2600.0,nM
CHEMBL77590,COc1ccccc1-c1cc2[nH]ccnc-2n1,5.48,3300.0,nM
CHEMBL309347,COc1ccc(-c2[nH]c3nccnc3c2C(C)C)cc1,6.3,500.0,nM
CHEMBL77641,Cc1c(-c2ccc(O)cc2)[nH]c2nccnc12,6.28,520.0,nM
CHEMBL76559,c1c[nH]c2cc(-c3ccsc3)nc-2n1,6.1,800.0,nM
CHEMBL77211,Brc1ccc(-c2cc3[nH]ccnc-3n2)cc1,5.22,6000.0,nM
CHEMBL37811,Fc1cccc(CSc2nnc(-c3ccncc3)o2)c1,5.85,1400.0,nM
CHEMBL37342,O=C(Cc1ccc(CSc2nnc(-c3ccncc3)o2)cc1)NCCc1ccccc1F,5.92,1200.0,nM
CHEMBL416975,O=C(O)Cc1ccc(CSc2nnc(-c3ccncc3)o2)cc1,5.1,8000.0,nM
CHEMBL40439,c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,5.525,6700.0,nM
CHEMBL288588,O=C(O)c1cccc(CSc2nnc(-c3ccncc3)o2)c1,3.6289321377282633,235000.0,nM
CHEMBL290436,O=C(O)c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,4.54,29000.0,nM
CHEMBL288064,Ic1cccc(CSc2nnc(-c3ccncc3)o2)c1,6.3325,390.0,nM
CHEMBL40022,c1ccc(CCSc2nnc(-c3ccncc3)o2)cc1,4.54,29000.0,nM
CHEMBL40004,Clc1ccccc1CSc1nnc(-c2ccncc2)o1,4.92,12000.0,nM
CHEMBL290211,O=C(O)Cc1ccc(CSc2nnc(-c3ccncc3)s2)cc1,4.96,11000.0,nM
CHEMBL40021,Clc1cccc(CSc2nnc(-c3ccncc3)o2)c1,6.09,820.0,nM
CHEMBL37652,Ic1ccc(CSc2nnc(-c3ccncc3)o2)cc1,3.703334809738469,198000.0,nM
CHEMBL37689,COC(=O)c1cccc(CSc2nnc(-c3ccncc3)o2)c1,5.96,1100.0,nM
CHEMBL99779,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1,5.0,10000.0,nM
CHEMBL121543,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(CC#CO)ccc2N1,6.7,199.99,nM
CHEMBL316485,CN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,5.68,2098.94,nM
CHEMBL318208,Cn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,6.4,399.94,nM
CHEMBL317964,Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,6.89,130.02,nM
